Name,Platform_S,n_platforms,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,isSeries
Airborne Troops: Countdown to D-Day,PS2,1,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,39,4,81,9,WideScreen Games,T,0
AirForce Delta Strike,PS2,1,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11,66,22,70,6,KCE Studios,T,0
Alias,PS2,1,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11,64,31,80,10,Acclaim Studios Cheltenham,T,0
Alice: Madness Returns,PS3,1,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70,51,79,181,Spicy Horse,M,1
Alien Hominid,PS2,1,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1,78,47,83,13,The Behemoth,T,1
Alien Resurrection,PS,1,2000,Shooter,Fox Interactive,0.09,0.06,0,0.01,0.16,61,12,75,15,Argonaut Games,M,1
Alien Syndrome,PSP,1,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08,51,20,60,9,Totally Games,T,1
Alien: Isolation,PS4,1,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,81,795,Creative Assembly,M,1
Aliens versus Predator: Extinction,PS2,1,2003,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19,66,17,84,30,Zono Inc.,T,1
Aliens vs Predator,PS3,1,2010,Shooter,Sega,0.41,0.46,0,0.18,1.04,65,57,73,168,Rebellion,M,1
Aliens vs Predator: Requiem,PSP,1,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,49,34,56,19,Rebellion,T,1
Aliens: Colonial Marines,PS3,1,2013,Shooter,Sega,0.2,0.29,0,0.11,0.6,43,25,36,295,Gearbox Software,M,1
All-Pro Football 2K8,PS3,1,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,73,23,73,21,Visual Concepts,E10+,1
All-Star Baseball 2002,PS2,1,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56,77,16,76,8,Acclaim Studios Austin,E,1
All-Star Baseball 2003,PS2,1,2002,Sports,Acclaim Entertainment,0.38,0.29,0,0.1,0.77,81,15,84,17,Acclaim Studios Austin,E,1
All-Star Baseball 2004,PS2,1,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,78,19,75,11,Acclaim Studios Austin,E,1
Alone in the Dark,PS2,1,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,10,54,24,Hydravision,M,1
Alone in the Dark: Inferno,PS3,1,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,25,56,50,Eden Studios,M,1
Alpha Protocol,PS3,1,2010,Role-Playing,Sega,0.19,0.17,0,0.07,0.43,64,49,69,117,Obsidian Entertainment,M,0
Alter Echo,PS2,1,2003,Shooter,THQ,0.06,0.05,0,0.02,0.13,62,26,70,9,Outrage Games,T,0
Alundra,PS,1,1997,Role-Playing,Psygnosis,0.13,0.09,0,0.01,0.23,86,9,90,41,Matrix Software,T,0
Alvin and the Chipmunks,PS2,1,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,33,5,45,6,Sensory Sweep,E,0
American Chopper,PS2,1,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,47,4,75,13,Creat Studios,T,0
American Idol,PS2,1,2003,Misc,Codemasters,0.27,0.21,0,0.07,0.55,41,14,48,12,Hothouse Creations,E,0
AMF Xtreme Bowling,PS2,1,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,30,4,42,5,"Atomic Planet Entertainment, Mud Duck Productions",E,0
Amplitude,PS2,1,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,86,35,88,26,Harmonix Music Systems,T,0
Anarchy Reigns,PS3,1,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,35,82,106,PlatinumGames,M,0
Angry Birds Star Wars,PS3/PS4,2,2013,Strategy,Activision,0.2,0.22,0,0.09,0.5,48,6,28,87,Exient Entertainment,E,1
Angry Birds Trilogy,PS3,1,2012,Action,Activision,0.12,0.02,0,0.03,0.16,66,8,37,20,"Rovio Mobile, Rovio Entertainment",E,1
Anima - Gate of Memories,PS4,1,2016,Action,Avanquest,0,0.02,0,0,0.02,52,13,79,34,"Edge Entertainment, Anima Project",T,1
Antz Extreme Racing,PS2,1,2002,Racing,Empire Interactive,0.02,0.02,0,0.01,0.04,31,5,50,8,Empire Interactive,E,0
Apache: Air Assault,PS3,1,2010,Simulation,Activision,0.11,0.06,0,0.03,0.2,66,17,61,12,Gaijin Entertainment,T,0
Ape Escape,PS,1,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,90,19,88,53,SCEI,E,1
Ape Escape 2,PS2,1,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82,31,84,32,SCE Japan Studio,E,1
Ape Escape 3,PS2,1,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,77,51,85,22,SCE Japan Studio,E10+,1
Ape Escape Academy,PSP,1,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,51,48,58,4,Shift,E10+,1
Ape Escape: On the Loose,PSP,1,2005,Platform,Sony Computer Entertainment,0.52,0,0.12,0.05,0.7,66,35,64,16,"SCEA, Sims",E,1
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,1,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,37,19,59,10,Creat Studios,M,0
Aquapazza: Aquaplus Dream Match,PS3,1,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.11,75,13,78,20,Examu,T,0
Ar Nosurge: Ode to an Unborn Star,PS3,1,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67,23,78,49,Gust,T,1
Ar tonelico Qoga: Knell of Ar Ciel,PS3,1,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,61,27,54,101,Gust,M,1
Ar tonelico: Melody of Elemia,PS2,1,2006,Role-Playing,505 Games,0,0,0.1,0,0.1,71,30,77,43,Gust,T,1
Arc the Lad: End of Darkness,PS2,1,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,59,24,42,10,Cattle Call,T,1
Arc the Lad: Twilight of the Spirits,PS2,1,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,72,39,82,33,Cattle Call,T,1
Arcana Heart,PS2,1,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,12,81,8,Examu,T,1
Arcana Heart 3,PS3,1,2011,Fighting,PQube,0.04,0.04,0.1,0.02,0.2,73,10,75,27,Examu,T,1
Archer Maclean's Mercury,PSP,1,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56,75,39,66,21,Awesome Studios,E,0
Arctic Thunder,PS2,1,2001,Racing,Midway Games,0.17,0.14,0,0.05,0.36,45,23,53,10,Inland Productions,T,0
Area 51,PS2,1,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,84,52,Midway Studios - Austin,M,0
Arena Football,PS2,1,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56,66,18,86,14,EA Tiburon,E10+,0
Armored Core 2,PS2,1,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78,23,84,19,From Software,T,1
Armored Core 2: Another Age,PS2,1,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,75,16,88,30,From Software,T,1
Armored Core 3,PS2,1,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74,23,90,33,From Software,T,1
Armored Core 3 Portable,PSP,1,2009,Simulation,From Software,0,0,0.08,0,0.08,43,6,67,6,From Software,T,1
Armored Core 4,PS3,1,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2,65,36,68,25,From Software,T,1
Armored Core V,PS3,1,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,65,26,73,47,From Software,T,1
Armored Core: For Answer,PS3,1,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62,22,76,31,From Software,T,1
Armored Core: Last Raven,PS2,1,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,59,16,89,14,From Software,T,1
Armored Core: Nexus,PS2,1,2004,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26,73,19,87,7,From Software,T,1
Armored Core: Nine Breaker,PS2,1,2004,Simulation,505 Games,0.03,0.03,0,0.01,0.07,57,25,82,5,From Software,T,1
Armored Core: Verdict Day,PS3,1,2013,Simulation,From Software,0,0,0.12,0,0.12,66,18,74,28,From Software,T,1
Army Corps of Hell,PSV,1,2011,Action,Square Enix,0.04,0.04,0,0.02,0.09,57,43,66,28,"Entersphere, Inc.",M,1
Army Men: Air Attack 2,PS,1,2000,Action,3DO,0.17,0.11,0,0.02,0.3,74,8,53,4,3DO,T,1
Army Men: Green Rogue,PS2,1,2001,Action,3DO,0.06,0.05,0,0.02,0.13,39,13,38,4,3DO,T,1
Army Men: Sarge's Heroes 2,PS/PS2,2,2000,Shooter,3DO,0.23,0.16,0,0.04,0.41,51,15,59.5,7,3DO,T,1
Army of Two,PS3,1,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,43,73,118,EA Montreal,M,1
Army of Two: The 40th Day,PS3/PSP,2,2010,Shooter,Electronic Arts,0.56,0.4,0.01,0.2,1.17,61.5,56,65,88,EA Montreal,M,1
Army of Two: The Devil's Cartel,PS3,1,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58,27,67,100,Visceral Games,M,1
Arslan: The Warriors of Legend,PS4,1,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69,43,66,23,Omega Force,T,0
Art of Fighting Anthology,PS2,1,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,0.04,60,19,70,4,SNK Playmore,T,0
Asphalt: Injection,PSV,1,2011,Action,Ubisoft,0.13,0.06,0,0.03,0.22,49,33,48,28,Ubisoft,E10+,1
Assassin's Creed,PS3,1,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,81,40,73,769,Ubisoft Montreal,M,1
Assassin's Creed Chronicles,PSV,1,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07,70,6,80,24,Climax Studios,T,1
Assassin's Creed Chronicles: China,PS4,1,2015,Action,Ubisoft,0,0.03,0,0.01,0.04,69,44,64,83,"Climax Group, Climax Studios",T,1
Assassin's Creed II,PS3,1,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,86,1202,Ubisoft Montreal,M,1
Assassin's Creed III,PS3,1,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,69,1307,Ubisoft,M,1
Assassin's Creed III: Liberation,PSV,1,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70,71,72,318,Ubisoft,M,1
Assassin's Creed IV: Black Flag,PS3/PS4,2,2013,Action,Ubisoft,2.4,2.99,0.19,0.99,6.56,85.5,36,79.5,1530,Ubisoft,M,1
Assassin's Creed Syndicate,PS4,1,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,68,1319,Ubisoft Quebec,M,1
Assassin's Creed The Ezio Collection,PS4,1,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,74,49,Ubisoft Montreal,M,1
Assassin's Creed: Bloodlines,PSP,1,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63,38,72,69,Griptonite Games,M,1
Assassin's Creed: Brotherhood,PS3,1,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90,59,82,791,Ubisoft Montreal,M,1
Assassin's Creed: Revelations,PS3,1,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80,39,75,613,Ubisoft Montreal,M,1
Assassin's Creed: Rogue,PS3,1,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72,53,75,292,Ubisoft Sofia,M,1
Assassin's Creed: Unity,PS4,1,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,49,2050,"Ubisoft, Ubisoft Montreal",M,1
Assetto Corsa,PS4,1,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,62,70,Kunos Simulazioni,E,0
Astonishia Story,PSP,1,2006,Role-Playing,Ubisoft,0.03,0,0,0,0.03,48,35,49,18,Sonnori,E10+,0
Astro Boy,PS2,1,2004,Action,Sega,0.04,0.03,0,0.01,0.09,54,29,69,7,Sonic Team,E,1
Astro Boy: The Video Game,PS2,1,2009,Action,D3Publisher,0.05,0.04,0,0.01,0.11,56,4,50,4,High Voltage Software,E10+,1
Asura's Wrath,PS3,1,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71,39,74,169,CyberConnect2,T,0
Atari Anthology,PS2,1,2004,Misc,Atari,0.33,0.01,0,0.05,0.4,66,12,43,6,Digital Eclipse,E,1
Atari Classics Evolved,PSP,1,2007,Misc,Atari,0.08,0,0,0.01,0.09,64,17,60,4,Stainless Games,E,1
Atelier Ayesha: The Alchemist of Dusk,PS3,1,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,66,120,Gust,T,1
Atelier Iris 2: The Azoth Of Destiny,PS2,1,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,34,78,14,Gust,E10+,1
Atelier Iris: Eternal Mana,PS2,1,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15,74,38,77,38,Gust,T,1
Atelier Shallie: Alchemists of the Dusk Sea,PS3,1,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76,26,77,44,Gust,E10+,1
Atelier Totori: The Adventurer of Arland,PS3,1,2010,Role-Playing,Nippon Ichi Software,0.12,0.06,0.21,0.03,0.42,74,19,67,109,Gust,T,1
Athens 2004,PS2,1,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27,61,57,72,13,Eurocom Entertainment Software,E,0
ATV Offroad Fury,PS2,1,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41,82,16,84,53,Rainbow Studios,E,1
ATV Offroad Fury 2,PS2,1,2002,Racing,THQ,1.92,0.2,0,0.06,2.18,82,26,89,28,Rainbow Studios,E,1
ATV Offroad Fury 3,PS2,1,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,37,84,16,Climax Group,E,1
ATV Offroad Fury: Blazin' Trails,PSP,1,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,63,32,78,16,Climax Group,E,1
Auto Modellista,PS2,1,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39,66,20,75,13,Capcom,E,0
Avatar: The Last Airbender,PSP,1,2006,Adventure,THQ,0.1,0,0,0.01,0.11,57,9,63,10,TOSE,E10+,0
B-Boy,PSP,1,2006,Misc,Sony Computer Entertainment,0.04,0,0,0,0.05,50,11,78,6,FreeStyleGames,T,0
Backyard Wrestling 2: There Goes the Neighborhood,PS2,1,2004,Fighting,Eidos Interactive,0.14,0.11,0,0.04,0.28,46,23,47,10,Paradox Development,M,1
Backyard Wrestling: Don't Try This at Home,PS2,1,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08,0.6,51,24,78,29,Paradox Development,M,1
Bad Boys: Miami Takedown,PS2,1,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,5,34,13,Blitz Games,M,0
Baja: Edge of Control,PS3,1,2008,Racing,THQ,0.1,0.08,0,0.03,0.21,61,21,50,11,2XL Games,E,0
Bakugan: Battle Brawlers,PS3,1,2009,Action,Activision,0.19,0.03,0,0.02,0.23,63,10,82,5,Now Production,E,0
Baldur's Gate: Dark Alliance,PS2,1,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,87,29,83,90,Snowblind Studios,T,1
Baldur's Gate: Dark Alliance II,PS2,1,2004,Role-Playing,Interplay,0.34,0.26,0,0.09,0.68,78,44,87,54,Black Isle Studios,T,1
Ball Breakers,PS,1,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,68,10,53,4,Lost Toys,E,0
Band Hero,PS3,1,2009,Misc,Activision,0.41,0.23,0,0.11,0.74,76,45,57,9,Neversoft Entertainment,E10+,1
Barnyard,PS2,1,2006,Action,THQ,0.05,0.04,0,0.01,0.09,62,13,87,10,Blue Tongue Entertainment,E10+,0
Baroque,PS2,1,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60,6,88,44,Sting,T,0
Bass Strike,PS2,1,2001,Sports,THQ,0.14,0.11,0,0.04,0.28,57,11,58,4,THQ,E,0
Batman Begins,PS2,1,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56,64,41,73,70,Eurocom Entertainment Software,T,1
Batman: Arkham Asylum,PS3,1,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91,70,89,1122,Rocksteady Studios,T,1
Batman: Arkham City,PS3,1,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,86,2162,Rocksteady Studios,T,1
Batman: Arkham Knight,PS4,1,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87,89,76,2679,Rocksteady Studios,M,1
Batman: Arkham Origins,PS3,1,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76,46,77,668,WB Games Montreal,T,1
Batman: Arkham Origins Blackgate,PSV,1,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0,0.1,0.42,61,38,68,106,Armature Studio,T,1
Batman: Arkham VR,PS4,1,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,73,89,Rocksteady Studios,M,1
Batman: Return to Arkham,PS4,1,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26,73,28,85,79,"Rocksteady Studios, Virtuos",T,1
Batman: Rise of Sin Tzu,PS2,1,2003,Action,Ubisoft,0.17,0.13,0,0.05,0.35,63,21,83,14,Ubisoft Montreal,T,1
Batman: Vengeance,PS2,1,2001,Adventure,Ubisoft,0.27,0.21,0,0.07,0.55,68,19,67,12,Ubisoft,T,1
Battle Arena Toshinden,PS,1,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69,4,63,4,Tamsoft,T,1
Battle Assault 3 featuring Gundam Seed,PS2,1,2004,Action,Namco Bandai Games,0.02,0.01,0,0,0.03,48,9,87,7,Natsume,T,1
Battle Engine Aquila,PS2,1,2003,Shooter,Atari,0.02,0.01,0,0,0.03,73,17,90,5,Lost Toys,T,1
Battle Princess of Arcadias,PS3,1,2013,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02,69,22,79,25,ApolloSoft,T,0
Battleborn,PS4,1,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,68,55,68,402,Gearbox Software,T,0
Battlefield 1,PS4,1,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88,31,84,809,EA DICE,M,1
Battlefield 2: Modern Combat,PS2,1,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44,80,42,85,65,Digital Illusions,T,1
Battlefield 3,PS3,1,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,75,1761,EA DICE,M,1
Battlefield 4,PS3/PS4,2,2013,Shooter,Electronic Arts,2.65,2.97,0.44,1.01,7.08,82.5,18,63.5,1580,EA DICE,M,1
Battlefield: Bad Company,PS3,1,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84,50,81,203,EA DICE,T,1
Battlefield: Bad Company 2,PS3,1,2010,Shooter,Electronic Arts,1.33,1.1,0.08,0.44,2.95,88,59,85,572,EA DICE,M,1
Battlefield: Hardline,PS4,1,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73,46,50,845,Visceral Games,M,1
Battlestar Galactica,PS2,1,2003,Shooter,Vivendi Games,0.08,0.06,0,0.02,0.16,66,22,68,6,Warthog,T,1
Battlezone,PS4,1,2016,Action,Rebellion Developments,0.02,0.02,0,0.01,0.04,66,39,70,31,Rebellion,T,0
Bayonetta,PS3,1,2009,Action,Sega,0.44,0.39,0.21,0.16,1.21,87,54,77,355,Nex Entertainment,M,0
Beat Down: Fists of Vengeance,PS2,1,2005,Action,Capcom,0.04,0.03,0.09,0.01,0.17,48,33,81,12,Cavia Inc.,M,0
Beaterator,PSP,1,2009,Misc,Take-Two Interactive,0.06,0.02,0,0.02,0.09,80,44,78,12,Rockstar Leeds,E,0
BeatMania,PS2,1,2006,Simulation,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07,67,30,89,11,Konami,E10+,0
Bee Movie Game,PS2,1,2007,Action,Activision,0.05,0.04,0,0.01,0.1,65,11,75,4,Beenox,E,0
Ben 10: Protector of Earth,PSP,1,2007,Action,D3Publisher,0.23,0.3,0,0.18,0.71,60,4,72,23,High Voltage Software,E10+,0
Beowulf: The Game,PS3/PSP,2,2007,Action,Ubisoft,0.22,0.01,0,0.02,0.25,47.5,18,53,17,Ubisoft,M,0
Beyond: Two Souls,PS3,1,2013,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70,98,81,2652,Quantic Dream,M,0
Big Mutha Truckers,PS2,1,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84,62,15,53,20,Eutechnyx,T,1
Big Mutha Truckers 2,PS2,1,2005,Racing,Xplosiv,0.1,0.07,0,0.03,0.2,51,26,21,9,Eutechnyx,M,1
Binary Domain,PS3,1,2012,Action,Sega,0.09,0.07,0.14,0.03,0.33,72,33,82,179,Sega,M,0
